listing_id,price,number_of_reviews,availability_365
31902,77.0,2.0,178.0
31994,76.0,426.0,275.0
32023,125.0,227.0,163.0
32037,135.0,84.0,365.0
32100,250.0,3.0,34.0
32289,199.0,10.0,280.0
32331,140.0,4.0,0.0
32363,140.0,1.0,1.0
32965,115.0,124.0,170.0
32969,160.0,11.0,188.0
33009,195.0,240.0,214.0
33014,195.0,30.0,248.0
33223,80.0,200.0,262.0
34760,44.0,27.0,280.0
35526,156.0,79.0,307.0
36121,85.0,9.0,339.0
36133,125.0,155.0,1.0
36442,115.0,4.0,269.0
36647,69.0,34.0,10.0
36703,225.0,134.0,312.0
36934,125.0,27.0,189.0
38638,219.0,126.0,290.0
38663,475.0,23.0,230.0
39267,99.0,234.0,164.0
39282,69.0,202.0,53.0
39593,79.0,28.0,126.0
39704,135.0,309.0,3.0
40039,250.0,14.0,189.0
40453,250.0,4.0,365.0
41348,250.0,80.0,0.0
41513,80.0,2.0,0.0
42580,70.0,294.0,336.0
42729,165.0,150.0,342.0
42882,70.0,166.0,312.0
43957,50.0,47.0,37.0
44096,40.0,219.0,353.0
44161,150.0,193.0,177.0
44212,125.0,84.0,310.0
44221,196.0,114.0,0.0
44229,110.0,213.0,321.0
44288,170.0,86.0,246.0
44506,165.0,80.0,231.0
45393,150.0,38.0,225.0
45542,100.0,18.0,0.0
45556,65.0,206.0,0.0
45910,350.0,10.0,365.0
45936,99.0,122.0,233.0
45940,200.0,33.0,1.0
46544,150.0,52.0,18.0
46723,90.0,126.0,343.0
46911,120.0,51.0,250.0
47199,75.0,199.0,326.0
47362,175.0,30.0,364.0
47370,125.0,3.0,0.0
47926,275.0,41.0,299.0
48719,299.0,109.0,207.0
50447,135.0,151.0,162.0
51438,130.0,0.0,0.0
51485,83.0,285.0,7.0
51572,123.0,375.0,328.0
51850,55.0,52.0,365.0
53137,195.0,10.0,0.0
53196,80.0,11.0,0.0
53469,98.0,33.0,240.0
53470,140.0,6.0,365.0
53477,265.0,38.0,365.0
54158,249.0,358.0,164.0
54453,105.0,10.0,363.0
54466,200.0,0.0,365.0
54508,100.0,226.0,250.0
54544,121.0,104.0,247.0
54626,45.0,138.0,323.0
54860,100.0,204.0,192.0
55467,140.0,253.0,125.0
55498,71.0,23.0,91.0
55668,130.0,115.0,75.0
55737,199.0,129.0,286.0
55959,69.0,82.0,60.0
55982,68.0,37.0,0.0
56467,130.0,204.0,192.0
56525,195.0,69.0,58.0
56859,64.0,192.0,245.0
57166,140.0,17.0,292.0
57297,159.0,222.0,279.0
57468,189.0,205.0,0.0
57618,250.0,94.0,3.0
57740,239.0,7.0,351.0
57754,305.0,108.0,201.0
57874,155.0,222.0,232.0
58059,60.0,458.0,258.0
58062,135.0,21.0,272.0
58467,120.0,17.0,341.0
59014,150.0,41.0,244.0
59121,140.0,1.0,365.0
59642,135.0,69.0,12.0
59709,250.0,18.0,265.0
59855,250.0,82.0,0.0
60164,500.0,94.0,329.0
60457,225.0,10.0,91.0
60611,125.0,183.0,365.0
60666,92.0,189.0,253.0
60673,175.0,1.0,365.0
60680,99.0,127.0,320.0
60794,195.0,4.0,0.0
60948,140.0,135.0,192.0
61167,135.0,21.0,0.0
61224,500.0,35.0,348.0
61406,80.0,10.0,0.0
61492,120.0,171.0,353.0
61509,110.0,92.0,140.0
62095,65.0,238.0,2.0
62427,130.0,56.0,56.0
62430,99.0,111.0,68.0
62452,36.0,193.0,360.0
62461,37.0,147.0,0.0
62787,37.0,177.0,320.0
62891,175.0,185.0,326.0
62903,205.0,62.0,76.0
62925,285.0,124.0,279.0
63299,59.0,181.0,15.0
63320,36.0,333.0,340.0
63360,99.0,441.0,226.0
63546,39.0,45.0,365.0
63573,60.0,9.0,0.0
63588,90.0,0.0,349.0
63610,105.0,38.0,365.0
63657,135.0,248.0,11.0
63693,390.0,143.0,316.0
63719,70.0,36.0,281.0
63913,75.0,0.0,323.0
64000,60.0,14.0,362.0
64015,200.0,0.0,0.0
64107,100.0,279.0,301.0
64277,70.0,18.0,189.0
64314,110.0,50.0,0.0
64365,60.0,227.0,287.0
64707,90.0,1.0,14.0
64837,68.0,203.0,86.0
65019,115.0,210.0,261.0
65268,75.0,64.0,68.0
65556,60.0,0.0,0.0
65562,129.0,5.0,231.0
65615,130.0,49.0,152.0
65660,95.0,132.0,46.0
65813,75.0,20.0,364.0
65834,175.0,11.0,246.0
66008,190.0,51.0,288.0
66026,49.0,15.0,331.0
66251,212.0,67.0,51.0
66275,95.0,109.0,364.0
66451,140.0,9.0,254.0
66718,135.0,187.0,189.0
66741,150.0,214.0,263.0
66974,190.0,69.0,258.0
67288,124.0,22.0,103.0
67299,135.0,56.0,42.0
67397,122.0,93.0,246.0
68099,109.0,104.0,364.0
68305,85.0,64.0,318.0
68403,145.0,127.0,72.0
68735,195.0,30.0,249.0
68765,250.0,106.0,272.0
68900,125.0,6.0,325.0
68974,575.0,191.0,298.0
69894,150.0,48.0,35.0
69921,70.0,47.0,203.0
70095,90.0,120.0,132.0
70128,65.0,52.0,5.0
70609,500.0,48.0,297.0
71010,250.0,32.0,276.0
71248,125.0,43.0,102.0
71366,200.0,39.0,251.0
71384,229.0,50.0,188.0
71812,90.0,4.0,346.0
72190,110.0,38.0,0.0
72265,59.0,29.0,15.0
74073,195.0,59.0,71.0
74240,169.0,68.0,215.0
74333,113.0,26.0,253.0
74404,250.0,31.0,78.0
74680,115.0,198.0,257.0
74860,55.0,1.0,0.0
75193,69.0,220.0,8.0
75635,150.0,286.0,191.0
76761,169.0,398.0,182.0
77765,179.0,36.0,79.0
77936,150.0,36.0,49.0
78919,135.0,6.0,0.0
79067,350.0,14.0,156.0
79782,120.0,76.0,343.0
80493,71.0,182.0,200.0
80684,349.0,8.0,60.0
80700,349.0,7.0,60.0
80924,165.0,34.0,189.0
81739,249.0,2.0,60.0
82549,100.0,66.0,0.0
82550,200.0,80.0,106.0
82638,169.0,240.0,276.0
82928,185.0,46.0,248.0
83243,65.0,228.0,194.0
83446,130.0,5.0,135.0
83722,199.0,8.0,30.0
83847,225.0,33.0,0.0
84010,179.0,13.0,81.0
84059,150.0,5.0,0.0
84659,139.0,388.0,142.0
84905,95.0,223.0,60.0
85094,79.0,11.0,179.0
86215,150.0,151.0,52.0
89427,650.0,0.0,365.0
89621,90.0,218.0,324.0
93313,120.0,75.0,237.0
94035,80.0,42.0,365.0
94209,100.0,0.0,365.0
94477,175.0,370.0,204.0
94783,120.0,104.0,272.0
95747,140.0,13.0,0.0
95883,200.0,4.0,9.0
96471,165.0,11.0,365.0
98330,125.0,1.0,181.0
98663,130.0,19.0,189.0
99070,65.0,131.0,0.0
99085,123.0,15.0,189.0
100002,67.0,136.0,296.0
100184,50.0,43.0,88.0
100186,130.0,98.0,35.0
101053,100.0,31.0,0.0
102995,212.0,45.0,35.0
103161,190.0,124.0,359.0
103311,599.0,9.0,60.0
103806,249.0,166.0,365.0
105469,70.0,13.0,335.0
105510,100.0,15.0,282.0
106363,60.0,380.0,247.0
106647,135.0,86.0,102.0
107630,175.0,248.0,274.0
107895,120.0,49.0,201.0
110739,169.0,54.0,98.0
112100,165.0,3.0,157.0
112304,90.0,1.0,0.0
112359,225.0,56.0,312.0
112435,95.0,163.0,331.0
113265,55.0,247.0,275.0
113945,85.0,116.0,174.0
114123,199.0,27.0,223.0
114229,211.0,52.0,361.0
114969,145.0,39.0,0.0
115535,65.0,35.0,283.0
115678,99.0,320.0,220.0
115748,110.0,30.0,363.0
116940,80.0,225.0,315.0
117425,150.0,95.0,281.0
118061,110.0,70.0,283.0
118430,290.0,35.0,20.0
118680,87.0,0.0,0.0
120362,190.0,50.0,331.0
121687,200.0,29.0,36.0
121861,165.0,23.0,7.0
123784,110.0,142.0,301.0
125053,395.0,70.0,170.0
125163,99.0,38.0,307.0
125594,39.0,82.0,365.0
126443,189.0,403.0,201.0
126816,85.0,3.0,0.0
127387,260.0,3.0,316.0
128975,122.0,116.0,271.0
131154,165.0,175.0,139.0
132516,97.0,28.0,209.0
132570,170.0,24.0,0.0
132695,125.0,15.0,0.0
133025,130.0,105.0,193.0
134934,225.0,22.0,52.0
135393,50.0,263.0,136.0
135465,170.0,86.0,286.0
135706,132.0,10.0,0.0
136493,250.0,18.0,18.0
138216,141.0,8.0,9.0
139624,64.0,70.0,3.0
140133,249.0,150.0,277.0
140425,79.0,115.0,0.0
140973,185.0,69.0,233.0
141154,120.0,232.0,221.0
141335,495.0,35.0,355.0
141890,375.0,18.0,0.0
141984,175.0,68.0,277.0
142069,150.0,22.0,0.0
144087,259.0,17.0,343.0
144148,96.0,34.0,0.0
145064,145.0,8.0,0.0
145188,200.0,0.0,0.0
145994,95.0,2.0,0.0
146754,250.0,52.0,188.0
147586,295.0,74.0,264.0
148201,175.0,18.0,0.0
148259,451.0,72.0,331.0
148825,165.0,191.0,236.0
149287,250.0,0.0,0.0
149777,77.0,197.0,309.0
150804,250.0,19.0,0.0
151199,129.0,414.0,245.0
151478,98.0,8.0,0.0
152071,150.0,0.0,8.0
152078,95.0,25.0,359.0
152259,55.0,119.0,333.0
152263,300.0,203.0,258.0
152520,42.0,53.0,236.0
153405,125.0,104.0,22.0
153780,175.0,175.0,236.0
154934,75.0,38.0,365.0
155296,255.0,39.0,89.0
157673,72.0,88.0,164.0
158061,165.0,27.0,311.0
158176,165.0,117.0,23.0
158290,75.0,43.0,365.0
158913,130.0,4.0,0.0
158955,139.0,385.0,222.0
159749,88.0,64.0,238.0
159815,80.0,39.0,218.0
159913,150.0,37.0,0.0
160609,200.0,10.0,0.0
160994,200.0,103.0,235.0
161366,42.0,41.0,246.0
161394,90.0,3.0,0.0
161996,295.0,227.0,247.0
162493,450.0,37.0,15.0
162508,130.0,29.0,119.0
163627,89.0,205.0,0.0
163809,198.0,42.0,234.0
163814,99.0,280.0,257.0
163836,46.0,86.0,350.0
164989,140.0,54.0,221.0
165080,500.0,7.0,0.0
165461,75.0,57.0,201.0
165824,33.0,31.0,161.0
166006,250.0,188.0,259.0
166172,60.0,480.0,0.0
166541,75.0,34.0,222.0
166983,350.0,6.0,0.0
167013,205.0,3.0,76.0
167017,219.0,2.0,0.0
167222,60.0,20.0,258.0
167482,185.0,129.0,14.0
168084,190.0,147.0,27.0
168123,105.0,101.0,167.0
168546,250.0,11.0,68.0
168810,175.0,11.0,358.0
169002,65.0,41.0,59.0
169152,75.0,87.0,0.0
169306,37.0,117.0,232.0
169464,85.0,86.0,15.0
169483,106.0,0.0,0.0
170420,79.0,15.0,0.0
170761,85.0,35.0,161.0
171776,170.0,17.0,88.0
172700,115.0,3.0,337.0
172870,89.0,43.0,247.0
173072,49.0,168.0,248.0
173151,91.0,241.0,287.0
173742,400.0,105.0,304.0
174527,150.0,11.0,0.0
174966,2000.0,30.0,0.0
176135,97.0,31.0,193.0
176653,100.0,49.0,43.0
176962,179.0,23.0,25.0
177421,500.0,20.0,127.0
177495,429.0,18.0,0.0
177606,189.0,90.0,303.0
179670,120.0,99.0,345.0
179741,300.0,6.0,115.0
180507,107.0,21.0,200.0
180792,95.0,24.0,271.0
181972,199.0,111.0,12.0
182069,120.0,86.0,268.0
182095,199.0,66.0,89.0
182177,125.0,271.0,347.0
182649,70.0,227.0,37.0
185266,75.0,80.0,0.0
187488,100.0,5.0,359.0
187566,99.0,187.0,287.0
187986,250.0,2.0,0.0
188146,350.0,1.0,233.0
188661,170.0,67.0,129.0
188674,165.0,63.0,0.0
189135,99.0,89.0,353.0
189181,255.0,1.0,365.0
189732,169.0,177.0,297.0
189787,99.0,90.0,56.0
190267,169.0,39.0,44.0
190542,160.0,42.0,355.0
190968,215.0,33.0,156.0
190974,130.0,179.0,273.0
191075,110.0,81.0,274.0
193105,150.0,43.0,258.0
193333,65.0,52.0,276.0
193393,75.0,160.0,65.0
193853,149.0,23.0,0.0
194154,89.0,35.0,180.0
195123,50.0,225.0,343.0
195233,43.0,401.0,43.0
195240,42.0,72.0,96.0
195578,85.0,46.0,59.0
195971,139.0,83.0,255.0
195989,105.0,211.0,252.0
196010,265.0,15.0,0.0
197155,149.0,122.0,20.0
197753,68.0,295.0,188.0
197942,99.0,207.0,304.0
199195,75.0,50.0,38.0
199312,100.0,273.0,254.0
200645,90.0,0.0,0.0
200955,160.0,25.0,46.0
201992,190.0,105.0,328.0
202273,67.0,72.0,0.0
203901,190.0,8.0,0.0
204065,248.0,58.0,199.0
204833,100.0,8.0,249.0
204959,95.0,172.0,64.0
205043,150.0,330.0,111.0
205485,145.0,123.0,287.0
205735,41.0,55.0,286.0
205867,120.0,87.0,263.0
206071,50.0,258.0,276.0
206316,157.0,4.0,0.0
206772,195.0,31.0,263.0
206957,70.0,128.0,90.0
208148,185.0,14.0,0.0
208889,145.0,30.0,11.0
209310,50.0,258.0,287.0
211078,185.0,228.0,1.0
211974,250.0,60.0,0.0
212109,80.0,9.0,338.0
212178,230.0,179.0,44.0
212544,100.0,9.0,0.0
213272,40.0,1.0,5.0
213330,200.0,25.0,0.0
214917,80.0,2.0,158.0
215560,79.0,152.0,192.0
215784,95.0,24.0,358.0
215907,300.0,45.0,31.0
217580,100.0,7.0,241.0
218358,80.0,19.0,285.0
219066,110.0,24.0,183.0
219482,172.0,8.0,189.0
219793,199.0,29.0,162.0
219818,199.0,14.0,158.0
219922,100.0,33.0,84.0
220351,55.0,99.0,260.0
220563,75.0,59.0,0.0
220946,146.0,142.0,166.0
221043,250.0,0.0,0.0
221097,116.0,22.0,335.0
221618,150.0,82.0,90.0
222054,120.0,23.0,342.0
222304,199.0,32.0,28.0
223930,150.0,24.0,363.0
224004,69.0,59.0,86.0
224006,300.0,6.0,83.0
224510,230.0,18.0,0.0
225297,125.0,3.0,0.0
225306,79.0,115.0,264.0
225887,130.0,154.0,305.0
225926,239.0,164.0,356.0
225976,75.0,76.0,278.0
226021,220.0,116.0,135.0
227715,80.0,234.0,308.0
227735,288.0,120.0,229.0
228317,135.0,82.0,273.0
228496,225.0,13.0,83.0
228517,110.0,59.0,281.0
228925,100.0,63.0,321.0
228979,130.0,52.0,303.0
229367,89.0,278.0,192.0
229874,200.0,1.0,0.0
230321,80.0,35.0,36.0
230854,50.0,235.0,271.0
230877,135.0,115.0,341.0
230956,90.0,109.0,333.0
231414,270.0,1.0,210.0
232612,110.0,305.0,231.0
232618,145.0,102.0,308.0
233189,179.0,83.0,292.0
233638,55.0,19.0,311.0
233662,110.0,61.0,264.0
234184,325.0,89.0,153.0
234870,75.0,65.0,219.0
235552,300.0,40.0,0.0
235651,130.0,80.0,332.0
235951,190.0,136.0,120.0
235960,200.0,100.0,191.0
236671,180.0,125.0,248.0
236788,350.0,40.0,67.0
236806,160.0,0.0,0.0
237127,195.0,139.0,325.0
237210,241.0,0.0,249.0
239055,300.0,2.0,0.0
239733,75.0,49.0,313.0
239766,100.0,8.0,0.0
239826,399.0,0.0,12.0
239883,85.0,124.0,69.0
239899,80.0,5.0,0.0
240800,55.0,147.0,293.0
241140,438.0,43.0,363.0
241159,110.0,8.0,4.0
241862,200.0,37.0,257.0
242532,279.0,120.0,362.0
242643,137.0,24.0,0.0
243229,280.0,5.0,365.0
243708,199.0,242.0,102.0
245504,71.0,229.0,26.0
245544,42.0,108.0,302.0
245574,180.0,181.0,280.0
245607,226.0,34.0,302.0
246134,85.0,5.0,281.0
246351,135.0,5.0,0.0
246916,79.0,60.0,297.0
246938,154.0,238.0,246.0
248865,199.0,34.0,60.0
248871,700.0,131.0,296.0
249414,246.0,6.0,0.0
249618,125.0,4.0,364.0
249867,100.0,7.0,281.0
250259,295.0,125.0,0.0
250311,150.0,0.0,0.0
250323,119.0,49.0,0.0
250536,125.0,11.0,365.0
250537,400.0,0.0,365.0
250801,850.0,107.0,249.0
251262,129.0,241.0,303.0
251277,140.0,176.0,300.0
252076,115.0,151.0,323.0
252607,200.0,49.0,0.0
253332,96.0,13.0,204.0
253466,199.0,33.0,60.0
253471,199.0,24.0,84.0
253475,199.0,59.0,60.0
253548,69.0,2.0,303.0
253590,185.0,16.0,261.0
253623,81.0,72.0,0.0
253800,199.0,24.0,60.0
253803,199.0,23.0,60.0
253806,199.0,43.0,60.0
253811,199.0,30.0,56.0
253815,199.0,39.0,84.0
253828,349.0,8.0,58.0
253839,249.0,3.0,60.0
253842,299.0,6.0,60.0
253846,179.0,4.0,81.0
254131,54.0,56.0,365.0
254168,599.0,7.0,60.0
254409,110.0,2.0,0.0
255024,220.0,178.0,297.0
255601,170.0,190.0,315.0
255957,495.0,25.0,338.0
256078,80.0,81.0,40.0
256328,760.0,7.0,361.0
256369,98.0,216.0,288.0
257097,125.0,31.0,218.0
257568,48.0,53.0,1.0
257787,64.0,247.0,117.0
258284,154.0,233.0,0.0
258397,139.0,135.0,204.0
258686,75.0,20.0,0.0
258688,325.0,46.0,20.0
258690,195.0,10.0,0.0
258740,58.0,143.0,0.0
258838,250.0,21.0,333.0
258876,50.0,0.0,189.0
259946,125.0,8.0,353.0
260451,70.0,4.0,0.0
260765,189.0,314.0,206.0
261194,130.0,18.0,1.0
261259,145.0,11.0,0.0
261344,101.0,51.0,307.0
261674,95.0,20.0,0.0
261781,375.0,8.0,0.0
262343,153.0,59.0,27.0
262405,92.0,54.0,27.0
262478,80.0,10.0,348.0
262583,300.0,153.0,246.0
263005,145.0,110.0,15.0
263190,88.0,69.0,0.0
263232,155.0,1.0,5.0
263502,185.0,24.0,0.0
263776,73.0,95.0,0.0
263888,225.0,129.0,107.0
264323,85.0,171.0,144.0
265036,99.0,20.0,98.0
265064,48.0,17.0,0.0
265145,200.0,8.0,0.0
265506,485.0,11.0,0.0
265831,310.0,5.0,89.0
265912,110.0,0.0,354.0
266146,109.0,36.0,286.0
266155,167.0,16.0,252.0
266351,147.0,5.0,189.0
266437,220.0,0.0,0.0
266449,195.0,68.0,271.0
266756,199.0,89.0,0.0
267376,65.0,10.0,0.0
267435,55.0,38.0,0.0
267535,50.0,15.0,337.0
267652,60.0,20.0,347.0
268392,130.0,35.0,41.0
268481,290.0,1.0,0.0
268868,350.0,64.0,18.0
269283,50.0,26.0,158.0
269889,96.0,244.0,270.0
270139,45.0,21.0,88.0
270231,85.0,270.0,306.0
270315,34.0,16.0,216.0
270345,250.0,24.0,16.0
270680,190.0,30.0,365.0
270681,75.0,5.0,365.0
271083,93.0,115.0,312.0
271128,60.0,9.0,33.0
271130,65.0,45.0,0.0
271694,125.0,19.0,365.0
271950,300.0,5.0,27.0
271954,150.0,203.0,300.0
272026,56.0,20.0,216.0
272044,299.0,49.0,365.0
272427,60.0,6.0,303.0
272706,88.0,7.0,0.0
272738,60.0,35.0,161.0
273190,1300.0,28.0,297.0
273256,200.0,0.0,0.0
274062,99.0,54.0,50.0
274329,110.0,115.0,28.0
274376,135.0,6.0,317.0
274743,110.0,1.0,275.0
275976,165.0,204.0,80.0
276216,127.0,1.0,365.0
276317,402.0,89.0,340.0
276482,85.0,130.0,97.0
277207,75.0,15.0,365.0
277370,139.0,52.0,314.0
277883,70.0,58.0,0.0
278090,50.0,208.0,339.0
278145,30.0,3.0,0.0
278631,250.0,7.0,35.0
278876,64.0,1.0,0.0
279093,300.0,2.0,365.0
279857,800.0,122.0,257.0
279969,100.0,63.0,5.0
280315,250.0,26.0,0.0
281521,200.0,1.0,0.0
281756,140.0,14.0,0.0
281851,130.0,107.0,304.0
282341,90.0,3.0,286.0
282443,90.0,107.0,0.0
282514,97.0,29.0,118.0
282863,91.0,69.0,265.0
282977,125.0,232.0,303.0
283072,75.0,0.0,0.0
283090,180.0,24.0,125.0
283184,300.0,0.0,354.0
283272,100.0,5.0,6.0
283550,175.0,10.0,0.0
284208,65.0,36.0,80.0
284855,240.0,94.0,134.0
285442,300.0,1.0,0.0
285492,385.0,63.0,364.0
285716,47.0,5.0,0.0
286662,110.0,238.0,297.0
286838,75.0,101.0,0.0
287397,100.0,21.0,43.0
287408,165.0,72.0,10.0
287417,300.0,40.0,0.0
287421,140.0,103.0,189.0
287481,120.0,66.0,17.0
287839,175.0,35.0,289.0
287845,275.0,121.0,305.0
289020,179.0,15.0,0.0
289037,189.0,13.0,0.0
289288,219.0,129.0,220.0
289665,450.0,157.0,0.0
289703,249.0,8.0,0.0
289958,65.0,5.0,362.0
289995,250.0,46.0,121.0
290457,139.0,37.0,153.0
291524,209.0,14.0,205.0
291714,120.0,37.0,310.0
291812,70.0,1.0,0.0
292047,90.0,209.0,236.0
292121,199.0,4.0,200.0
292266,50.0,17.0,74.0
292637,100.0,0.0,0.0
293004,110.0,0.0,0.0
293837,157.0,54.0,12.0
294227,199.0,43.0,84.0
294239,192.0,7.0,0.0
294242,199.0,75.0,84.0
294250,150.0,88.0,0.0
294259,199.0,73.0,56.0
294263,199.0,89.0,62.0
294280,199.0,23.0,81.0
294297,105.0,11.0,0.0
294353,135.0,84.0,310.0
294490,199.0,54.0,60.0
294717,125.0,17.0,0.0
295231,60.0,1.0,0.0
295379,85.0,73.0,0.0
295998,300.0,36.0,29.0
296345,75.0,98.0,264.0
296361,55.0,63.0,341.0
296658,44.0,2.0,0.0
296717,55.0,18.0,0.0
296844,30.0,24.0,0.0
297611,35.0,1.0,0.0
297962,70.0,2.0,363.0
298073,130.0,23.0,25.0
298759,52.0,93.0,0.0
298854,75.0,0.0,358.0
299062,190.0,0.0,0.0
299078,250.0,152.0,109.0
299531,100.0,119.0,289.0
299699,130.0,9.0,188.0
301034,140.0,44.0,260.0
302057,75.0,158.0,168.0
302758,150.0,12.0,0.0
303345,90.0,51.0,311.0
303462,295.0,0.0,146.0
304799,150.0,11.0,2.0
305211,180.0,236.0,242.0
306702,135.0,16.0,0.0
306799,65.0,123.0,46.0
309342,99.0,14.0,365.0
310220,149.0,65.0,364.0
310272,59.0,50.0,352.0
310325,75.0,33.0,301.0
310338,75.0,30.0,322.0
310524,75.0,13.0,298.0
310796,109.0,18.0,285.0
311003,225.0,1.0,342.0
311343,86.0,216.0,250.0
311356,52.0,98.0,326.0
312429,100.0,61.0,90.0
313890,99.0,13.0,289.0
314982,89.0,136.0,193.0
316238,135.0,39.0,293.0
317838,199.0,65.0,155.0
317905,89.0,62.0,189.0
318021,110.0,47.0,248.0
318187,120.0,42.0,238.0
319724,59.0,207.0,284.0
319798,49.0,72.0,343.0
319844,79.0,22.0,268.0
320865,135.0,25.0,249.0
320876,185.0,215.0,291.0
320877,225.0,26.0,0.0
321014,245.0,18.0,0.0
321136,115.0,18.0,31.0
322037,325.0,320.0,0.0
322604,95.0,160.0,79.0
322974,120.0,78.0,0.0
323706,499.0,64.0,157.0
324115,75.0,219.0,277.0
324517,109.0,66.0,353.0
324800,160.0,25.0,0.0
325429,219.0,102.0,280.0
326832,159.0,32.0,7.0
326956,180.0,15.0,266.0
327521,150.0,1.0,0.0
327778,106.0,12.0,271.0
328040,299.0,19.0,101.0
328693,179.0,297.0,205.0
328744,165.0,12.0,343.0
329064,500.0,9.0,0.0
329310,250.0,9.0,190.0
329385,87.0,46.0,310.0
333189,79.0,42.0,52.0
333323,75.0,118.0,312.0
334607,200.0,53.0,0.0
334781,80.0,15.0,329.0
335797,115.0,64.0,333.0
335819,115.0,51.0,327.0
335820,120.0,79.0,349.0
336220,125.0,202.0,217.0
339456,387.0,23.0,0.0
341525,95.0,62.0,80.0
341982,99.0,36.0,0.0
342027,121.0,16.0,351.0
342965,350.0,24.0,362.0
342995,75.0,77.0,144.0
343276,95.0,110.0,43.0
343971,89.0,56.0,365.0
344019,195.0,7.0,129.0
344068,160.0,0.0,0.0
344092,70.0,19.0,0.0
346248,100.0,7.0,0.0
346805,140.0,53.0,0.0
347865,189.0,265.0,355.0
349841,160.0,0.0,0.0
350168,178.0,8.0,280.0
